tag,precision,recall,f1_score,support
absurd,0.0,0.0,0.0,56
action,0.2754237288135593,0.5038759689922481,0.3561643835616438,129
adult comedy,0.3333333333333333,0.10714285714285714,0.16216216216216217,28
allegory,0.25,0.045454545454545456,0.07692307692307693,22
alternate history,0.5,0.1111111111111111,0.18181818181818182,18
alternate reality,0.2727272727272727,0.08571428571428572,0.13043478260869565,35
anti war,0.2916666666666667,0.23333333333333334,0.25925925925925924,30
atmospheric,0.17647058823529413,0.1518987341772152,0.16326530612244897,79
autobiographical,0.0,0.0,0.0,8
avant garde,0.16666666666666666,0.044444444444444446,0.07017543859649122,45
blaxploitation,1.0,0.09090909090909091,0.16666666666666666,11
bleak,0.0,0.0,0.0,40
boring,0.12612612612612611,0.12173913043478261,0.12389380530973451,115
brainwashing,1.0,0.05555555555555555,0.10526315789473684,18
christian film,0.0,0.0,0.0,9
claustrophobic,0.0,0.0,0.0,15
clever,0.0,0.0,0.0,13
comedy,0.30278884462151395,0.41304347826086957,0.34942528735632183,368
comic,0.5,0.07407407407407407,0.12903225806451613,27
cruelty,0.25,0.12371134020618557,0.16551724137931034,97
cult,0.377027027027027,0.5063520871143375,0.4322230828814872,551
cute,0.42857142857142855,0.07317073170731707,0.125,41
dark,0.1566265060240964,0.15294117647058825,0.15476190476190477,85
depressing,0.0,0.0,0.0,42
dramatic,0.12280701754385964,0.08433734939759036,0.1,83
entertaining,0.21714285714285714,0.2389937106918239,0.2275449101796407,159
fantasy,0.4807692307692308,0.4424778761061947,0.4608294930875576,113
feel-good,0.0,0.0,0.0,11
flashback,0.37988826815642457,0.4563758389261745,0.4146341463414634,596
good versus evil,0.36177474402730375,0.5578947368421052,0.4389233954451346,190
gothic,0.34108527131782945,0.5301204819277109,0.41509433962264153,83
grindhouse film,0.16666666666666666,0.08333333333333333,0.1111111111111111,12
haunting,0.34782608695652173,0.3076923076923077,0.32653061224489793,26
historical,0.15384615384615385,0.125,0.13793103448275862,64
historical fiction,0.19230769230769232,0.2,0.19607843137254902,25
home movie,0.0,0.0,0.0,29
horror,0.3092105263157895,0.5108695652173914,0.38524590163934425,92
humor,0.22093023255813954,0.22093023255813954,0.22093023255813954,172
insanity,0.20833333333333334,0.22058823529411764,0.21428571428571427,136
inspiring,0.75,0.09375,0.16666666666666666,32
intrigue,0.25,0.025,0.045454545454545456,40
magical realism,0.0,0.0,0.0,5
melodrama,0.13513513513513514,0.10752688172043011,0.11976047904191617,93
murder,0.6629213483146067,0.7151515151515152,0.6880466472303207,1155
mystery,0.18796992481203006,0.21367521367521367,0.2,117
neo noir,0.3007518796992481,0.5517241379310345,0.38929440389294406,145
non fiction,0.0,0.0,0.0,5
paranormal,0.3115942028985507,0.3333333333333333,0.32209737827715357,129
philosophical,0.2222222222222222,0.05555555555555555,0.08888888888888889,36
plot twist,0.2857142857142857,0.045454545454545456,0.0784313725490196,44
pornographic,0.5,0.03571428571428571,0.06666666666666667,28
prank,0.19230769230769232,0.09803921568627451,0.12987012987012986,51
psychedelic,0.3775280898876405,0.4253164556962025,0.4,395
psychological,0.1,0.03076923076923077,0.047058823529411764,65
queer,0.0,0.0,0.0,15
realism,0.0,0.0,0.0,37
revenge,0.3782991202346041,0.5088757396449705,0.4339781328847771,507
romantic,0.44750656167979,0.5809199318568995,0.5055596738324685,587
sadist,0.2698412698412698,0.22972972972972974,0.24817518248175183,148
satire,0.2974683544303797,0.27167630057803466,0.283987915407855,173
sci-fi,0.23684210526315788,0.4090909090909091,0.3,66
sentimental,0.16666666666666666,0.0392156862745098,0.06349206349206349,51
storytelling,0.1111111111111111,0.015151515151515152,0.02666666666666667,66
stupid,0.0,0.0,0.0,39
suicidal,0.0,0.0,0.0,8
suspenseful,0.26944444444444443,0.42543859649122806,0.3299319727891156,228
thought-provoking,0.5,0.037037037037037035,0.06896551724137931,27
tragedy,0.1111111111111111,0.05042016806722689,0.06936416184971098,119
violence,0.5749318801089919,0.6948408342480791,0.6292246520874751,911
western,0.6363636363636364,0.5,0.56,14
whimsical,0.0,0.0,0.0,13
